Date,Price
2020-05-18,17.783651
2020-05-19,18.277643
2020-05-20,18.175116
2020-05-21,18.128513
2020-05-22,17.87686
2020-05-26,18.119194
2020-05-27,18.119194
2020-05-28,18.305601
2020-05-29,18.147156
2020-06-01,18.324244
2020-06-02,18.836878
2020-06-03,20.31885
2020-06-04,20.495939
2020-06-05,20.766235
2020-06-08,21.521202
2020-06-09,21.390715
2020-06-10,21.49324
2020-06-11,20.645069
2020-06-12,20.440016
2020-06-15,19.852819
2020-06-16,20.188362
2020-06-17,20.104477
2020-06-18,20.057873
2020-06-19,19.722332
2020-06-22,19.619802
2020-06-23,19.69437
2020-06-24,19.666407
2020-06-25,19.284267
2020-06-26,19.405432
2020-06-29,19.125814
2020-06-30,19.386791
2020-07-01,19.619802
2020-07-02,19.834179
2020-07-03,20.104477
2020-07-06,20.477297
2020-07-07,20.197681
2020-07-08,20.309528
2020-07-09,20.179039
2020-07-13,20.076515
2020-07-14,20.02059
2020-07-15,20.393415
2020-07-16,20.132441
2020-07-17,19.927383
2020-07-20,19.843502
2020-07-21,19.946024
2020-07-22,19.647766
2020-07-23,19.666407
2020-07-24,19.237661
2020-07-27,19.181742
2020-07-28,19.107174
2020-07-29,19.013968
2020-07-30,18.426773
2020-08-03,18.128513
2020-08-04,18.352209
2020-08-05,18.482698
2020-08-06,19.013968
2020-08-07,19.200382
2020-08-11,19.433395
2020-08-12,19.582527
2020-08-13,19.964668
2020-08-14,19.804874
2020-08-17,19.739077
2020-08-18,19.494688
2020-08-19,19.62628
2020-08-20,19.475887
2020-08-21,19.485287
2020-08-24,19.541689
2020-08-25,19.729677
2020-08-26,19.438292
2020-08-27,19.231503
2020-08-28,19.513489
2020-08-31,19.616886
2020-09-01,19.616886
2020-09-02,19.616886
2020-09-03,19.513489
2020-09-04,19.438292
2020-09-07,19.475887
2020-09-08,19.410091
2020-09-09,19.287899
2020-09-10,19.306698
2020-09-11,19.2785
2020-09-14,19.231503
2020-09-15,19.128105
2020-09-16,19.071711
2020-09-17,18.817919
2020-09-18,18.846119
2020-09-21,18.789722
2020-09-22,18.554731
2020-09-23,18.695726
2020-09-24,18.611132
2020-09-25,18.808521
2020-09-28,19.005911
2020-09-29,18.780321
2020-09-30,18.714523
2020-10-01,19.175102
2020-10-02,19.146904
2020-10-05,19.344297
2020-10-06,19.46649
2020-10-07,19.616886
2020-10-08,19.757877
2020-10-09,19.786074
2020-10-12,20.115059
2020-10-13,20.293652
2020-10-14,20.039864
2020-10-15,19.804874
2020-10-16,20.105661
2020-10-19,20.274855
2020-10-20,20.021065
2020-10-21,19.974068
2020-10-22,20.15266
2020-10-23,20.256052
2020-10-26,20.021065
2020-10-27,20.039864
2020-10-28,19.645082
2020-10-29,19.325497
2020-10-30,19.128105
2020-11-02,19.391293
2020-11-03,20.143261
2020-11-04,20.256052
2020-11-05,21.083216
2020-11-06,21.139612
2020-11-09,21.571993
2020-11-10,22.934929
2020-11-11,22.934929
2020-11-12,22.698193
2020-11-13,22.612965
2020-11-16,22.934927
2020-11-17,23.34211
2020-11-18,23.323174
2020-11-19,23.124315
2020-11-20,23.294764
2020-11-23,23.739826
2020-11-24,24.241707
2020-11-25,24.317463
2020-11-26,24.147013
2020-11-27,24.317463
2020-11-30,23.862932
2020-12-01,23.853462
2020-12-02,23.976563
2020-12-03,24.222769
2020-12-04,24.298523
2020-12-07,23.91975
2020-12-08,23.683012
2020-12-09,24.099667
2020-12-10,23.720888
2020-12-11,23.730358
2020-12-14,24.099667
2020-12-15,24.109133
2020-12-16,24.203831
2020-12-17,24.023912
2020-12-18,23.758766
2020-12-21,23.862932
2020-12-22,23.720888
2020-12-23,23.739826
2020-12-24,23.834524
2020-12-28,23.796644
2020-12-29,23.862932
2020-12-30,23.891338
2020-12-31,23.891338
2021-01-04,23.995504
2021-01-05,24.004972
2021-01-06,23.843992
2021-01-07,24.66783
2021-01-08,25.965141
2021-01-11,25.491671
2021-01-12,25.311752
2021-01-13,25.34016
2021-01-14,25.557955
2021-01-15,25.425385
2021-01-18,25.008728
2021-01-19,25.179178
2021-01-20,24.980322
2021-01-21,25.046608
2021-01-22,24.781466
2021-01-25,24.554199
2021-01-26,24.336403
2021-01-27,24.440563
2021-01-28,24.090199
2021-01-29,23.843992
2021-02-01,23.900808
2021-02-02,23.929216
2021-02-03,23.862932
2021-02-04,23.900808
2021-02-05,23.938686
2021-02-08,24.762526
2021-02-09,24.554199
2021-02-10,24.620483
2021-02-11,24.686771
2021-02-15,24.506849
2021-02-16,24.611013
2021-02-17,24.620483
2021-02-18,24.393219
2021-02-19,24.270115
2021-02-22,24.241707
2021-02-23,24.298523
2021-02-24,24.999262
2021-02-25,25.472729
2021-02-26,25.226524
2021-03-01,25.662123
2021-03-02,25.510609
2021-03-03,26.021955
2021-03-04,26.552244
2021-03-05,26.220818
2021-03-08,26.893143
2021-03-09,27.319267
2021-03-10,26.362858
2021-03-11,26.807917
2021-03-12,26.609062
2021-03-15,26.476488
2021-03-16,26.419674
2021-03-17,26.533306
2021-03-18,26.874205
2021-03-19,26.997309
2021-03-22,26.874205
2021-03-23,26.703756
2021-03-24,26.79845
2021-03-25,26.987839
2021-03-26,27.073061
2021-03-29,27.290859
2021-03-30,27.461309
2021-03-31,27.262451
2021-04-01,27.461309
2021-04-05,27.75486
2021-04-06,27.74539
2021-04-07,27.469082
2021-04-08,27.345219
2021-04-09,27.297579
2021-04-12,27.335691
2021-04-13,27.478609
2021-04-14,27.335691
2021-04-15,27.583416
2021-04-16,27.631056
2021-04-19,27.650112
2021-04-20,27.650112
2021-04-21,27.059378
2021-04-22,27.60247
2021-04-23,27.583416
2021-04-26,27.631056
2021-04-27,27.916893
2021-04-28,28.012175
2021-04-29,28.002645
2021-04-30,28.498098
2021-05-03,28.193207
2021-05-04,28.012175
2021-05-05,27.964533
2021-05-06,28.174149
2021-05-07,28.45046
2021-05-10,28.402529
2021-05-11,28.220402
2021-05-12,28.277916
2021-05-14,28.076618
2021-05-17,27.990345
2021-05-18,28.527145
2021-05-19,28.13413
2021-05-20,28.392944
2021-05-21,28.594244
2021-05-24,28.536732
2021-05-25,28.728443
2021-05-27,28.814716
2021-05-28,29.150217
2021-05-31,28.785961
2021-06-01,29.092703
2021-06-02,28.680517
2021-06-03,28.584661
2021-06-04,28.479216
2021-06-07,29.083118
2021-06-08,28.785961
2021-06-09,28.4888
2021-06-10,28.65176
2021-06-11,28.498388
2021-06-14,28.431286
2021-06-15,28.824303
2021-06-16,28.680517
2021-06-17,28.661345
2021-06-18,28.536732
2021-06-21,28.402529
2021-06-22,28.182058
2021-06-23,28.11496
2021-06-24,28.277916
2021-06-25,28.297089
2021-06-28,28.373772
2021-06-29,27.971172
2021-06-30,28.575073
2021-07-01,28.766788
2021-07-02,28.833889
2021-07-05,28.7572
2021-07-06,29.591162
2021-07-07,28.843473
2021-07-08,28.316261
2021-07-09,28.431286
2021-07-12,28.699688
2021-07-13,29.073532
2021-07-14,28.776375
2021-07-15,28.642172
2021-07-16,28.872232
2021-07-19,28.354603
2021-07-21,28.45046
2021-07-22,28.948919
2021-07-23,28.958502
2021-07-26,28.7572
2021-07-27,28.661345
2021-07-28,28.824303
2021-07-29,29.236488
2021-07-30,29.150217
2021-08-02,29.102291
2021-08-03,28.958502
2021-08-04,29.313175
2021-08-05,29.524061
2021-08-06,29.715776
2021-08-10,30.367607
2021-08-11,29.984177
2021-08-12,29.945835
2021-08-13,30.013649
2021-08-16,29.71332
2021-08-17,29.519558
2021-08-18,29.471119
2021-08-19,28.986715
2021-08-20,29.219227
2021-08-23,29.122347
2021-08-24,29.180477
2021-08-25,29.219227
2021-08-26,29.548622
2021-08-27,29.1611
2021-08-30,29.451742
2021-08-31,29.035152
2021-09-01,29.287045
2021-09-02,29.1611
2021-09-03,29.180477
2021-09-06,29.442053
2021-09-07,29.46143
2021-09-08,29.122347
2021-09-09,29.296732
2021-09-10,29.490494
2021-09-13,29.345173
2021-09-14,29.393614
2021-09-15,29.132034
2021-09-16,29.141724
2021-09-17,29.306419
2021-09-20,28.841394
2021-09-21,28.725136
2021-09-22,28.386053
2021-09-23,28.628254
2021-09-24,28.434494
2021-09-27,29.064217
2021-09-28,29.025467
2021-09-29,29.170788
2021-09-30,29.374235
2021-10-01,29.035152
2021-10-04,29.393614
2021-10-05,29.287045
2021-10-06,29.345173
2021-10-07,29.509869
2021-10-08,29.480806
2021-10-11,29.306419
2021-10-12,29.190163
2021-10-13,29.548622
2021-10-14,29.471119
2021-10-15,29.46143
2021-10-18,29.529247
2021-10-19,30.246162
2021-10-20,30.343042
2021-10-21,30.246162
2021-10-22,30.391487
2021-10-25,30.507742
2021-10-26,30.556183
2021-10-27,30.769318
2021-10-28,30.633688
2021-10-29,30.546494
2021-11-01,30.875889
2021-11-02,31.098713
2021-11-03,31.205282
2021-11-05,31.282787
2021-11-08,31.583118
2021-11-09,31.292477
2021-11-10,31.098713
2021-11-11,31.224659
2021-11-12,31.361694
2021-11-15,31.508518
2021-11-16,31.361694
2021-11-17,31.528095
2021-11-18,31.782593
2021-11-19,31.792379
2021-11-22,31.841322
2021-11-23,31.704285
2021-11-24,31.694498
2021-11-25,31.430212
2021-11-26,30.901644
2021-11-29,30.138159
2021-11-30,29.237635
2021-12-01,30.715666
2021-12-02,30.882067
2021-12-03,30.803762
2021-12-06,31.136562
2021-12-07,31.381273
2021-12-08,31.312752
2021-12-09,31.273602
2021-12-10,31.224659
2021-12-13,31.16593
2021-12-14,31.16593
2021-12-15,31.224659
2021-12-16,31.645557
2021-12-17,31.753223
2021-12-20,31.469368
2021-12-21,31.459578
2021-12-22,31.694498
2021-12-23,31.811956
2021-12-24,31.919628
2021-12-27,31.811956
2021-12-28,32.056664
2021-12-29,32.086029
2021-12-30,31.968571
2021-12-31,31.968571
2022-01-03,32.095818
2022-01-04,32.996338
2022-01-05,32.536293
2022-01-06,33.104012
2022-01-07,33.642368
2022-01-10,34.327549
2022-01-11,34.670135
2022-01-12,34.758232
2022-01-13,34.748444
2022-01-14,35.120399
2022-01-17,35.237858
2022-01-18,35.159554
2022-01-19,35.169342
2022-01-20,35.228073
2022-01-21,34.797386
2022-01-24,34.905056
2022-01-25,34.454796
2022-01-26,34.562469
2022-01-27,34.513523
2022-01-28,34.08284
2022-01-31,34.454796
2022-02-03,34.944214
2022-02-04,35.188919
2022-02-07,35.707695
2022-02-08,35.80558
2022-02-09,36.197109
2022-02-10,36.069862
2022-02-11,36.461395
2022-02-14,36.412453
2022-02-15,35.756638
2022-02-16,36.020924
2022-02-17,35.756638
2022-02-18,35.678333
2022-02-21,35.737061
2022-02-22,35.482567
2022-02-23,35.727272
2022-02-24,34.01432
2022-02-25,34.210091
2022-02-28,33.104012
2022-03-01,33.691307
2022-03-02,32.624386
2022-03-03,32.526501
2022-03-04,31.909838
2022-03-07,31.234446
2022-03-08,30.568844
2022-03-09,31.577036
2022-03-10,32.193699
2022-03-11,32.555866
2022-03-14,32.457981
2022-03-15,33.172527
2022-03-16,33.838135
2022-03-17,33.984959
2022-03-18,34.024109
2022-03-21,34.454796
2022-03-22,34.298183
2022-03-23,34.435219
2022-03-24,34.885479
2022-03-25,34.846325
2022-03-28,35.394474
2022-03-29,35.208492
2022-03-30,35.365108
2022-03-31,35.071461
2022-04-01,34.797386
2022-04-04,34.777809
2022-04-05,35.149765
2022-04-06,34.993153
2022-04-07,34.582047
2022-04-08,33.988701
2022-04-11,33.672249
2022-04-12,32.871239
2022-04-13,33.207466
2022-04-14,33.108574
2022-04-18,32.6339
2022-04-19,32.6339
2022-04-20,32.871239
2022-04-21,33.019573
2022-04-22,33.2668
2022-04-25,33.029461
2022-04-26,32.673454
2022-04-27,32.535011
2022-04-28,32.643787
2022-04-29,33.54369
2022-05-04,33.672249
2022-05-05,33.227242
2022-05-06,32.703121
2022-05-09,32.535011
2022-05-10,32.09
2022-05-11,31.92
2022-05-12,31.059999
2022-05-13,31.23
2022-05-17,31.040001
